                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                0.72715,                0.36856,                 1.0099,                0.97939,                 0.9949,                0.99021,                0.76136,                0.94355,                0.32604,                 1.1378,              0.0008912,              0.0008912,              0.0008912
                    115,                0.73666,                0.36526,                 1.0165,                0.97002,                      1,                0.99023,                0.76519,                0.90285,                0.31959,                 1.1185,              0.0008813,              0.0008813,              0.0008813
                    116,                0.71638,                0.36411,                 1.0061,                0.98488,                      1,                0.99272,                0.76905,                0.93982,                0.32138,                 1.1434,              0.0008714,              0.0008714,              0.0008714
                    117,                0.72972,                0.36952,                 1.0154,                0.97433,                 0.9949,                0.99133,                 0.7713,                0.91264,                0.31266,                 1.1379,              0.0008615,              0.0008615,              0.0008615
                    118,                0.71564,                 0.3579,                 1.0031,                0.97027,                0.99909,                0.98956,                0.76787,                0.91294,                0.31939,                 1.1384,              0.0008516,              0.0008516,              0.0008516
                    119,                0.74296,                0.36532,                 1.0339,                0.96997,                      1,                0.99016,                0.76288,                0.92163,                0.31943,                 1.1529,              0.0008417,              0.0008417,              0.0008417
                    120,                0.70427,                0.35984,                 1.0077,                0.98324,                 0.9898,                0.99004,                0.76162,                0.92959,                0.31378,                  1.146,              0.0008318,              0.0008318,              0.0008318
                    121,                0.70775,                  0.384,                 1.0152,                0.98485,                0.99467,                0.99055,                0.76104,                0.91337,                0.30893,                 1.1338,              0.0008219,              0.0008219,              0.0008219
                    122,                0.70481,                0.35824,                 1.0057,                0.97012,                0.99404,                0.98932,                0.76315,                0.89171,                0.30811,                 1.1131,               0.000812,               0.000812,               0.000812
                    123,                0.70412,                0.35588,                 1.0135,                0.98076,                 0.9898,                0.99138,                0.77204,                0.88771,                0.30577,                 1.1378,              0.0008021,              0.0008021,              0.0008021
                    124,                0.69813,                0.35573,                0.99575,                0.97978,                0.98874,                0.98885,                0.75648,                0.93596,                0.32591,                 1.1657,              0.0007922,              0.0007922,              0.0007922
                    125,                0.70664,                0.35336,                 0.9987,                0.97027,                0.99903,                0.98904,                0.76291,                0.86743,                0.31239,                 1.1224,              0.0007823,              0.0007823,              0.0007823
                    126,                0.69731,                0.35178,                0.99699,                0.98416,                 0.9949,                0.98957,                0.76787,                0.90301,                0.31021,                 1.1271,              0.0007724,              0.0007724,              0.0007724
                    127,                0.69808,                0.34943,                0.99828,                0.97791,                 0.9949,                0.98952,                0.76306,                0.94781,                0.32092,                  1.151,              0.0007625,              0.0007625,              0.0007625
                    128,                0.68397,                0.35445,                0.99074,                0.97989,                0.99445,                0.98992,                0.75209,                0.95915,                0.32203,                 1.1624,              0.0007526,              0.0007526,              0.0007526
                    129,                0.67428,                0.34782,                0.98985,                0.97389,                 0.9949,                0.98826,                0.76628,                0.92382,                0.32322,                 1.1622,              0.0007427,              0.0007427,              0.0007427
                    130,                0.68204,                0.34911,                0.98984,                0.97931,                 0.9949,                0.98957,                0.76216,                0.93415,                0.31508,                 1.1429,              0.0007328,              0.0007328,              0.0007328
                    131,                0.68222,                0.34293,                0.99418,                0.97924,                 0.9949,                0.99084,                0.75411,                0.96195,                0.32342,                 1.1811,              0.0007229,              0.0007229,              0.0007229
                    132,                  0.677,                0.34844,                0.99256,                0.97987,                0.99346,                 0.9898,                0.75814,                0.96752,                0.33114,                 1.1853,               0.000713,               0.000713,               0.000713
                    133,                0.68416,                0.35233,                  0.995,                0.98476,                0.98899,                 0.9908,                0.75648,                0.91365,                0.30971,                  1.143,              0.0007031,              0.0007031,              0.0007031
