                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.90589,                0.50222,                 1.4777,                0.96936,                 0.9949,                0.99108,                0.76186,                0.90395,                0.37988,                 1.5622,              0.0005546,              0.0005546,              0.0005546
                     76,                0.89299,                0.50112,                 1.4595,                0.96875,                 0.9898,                0.98859,                0.76644,                0.89535,                0.38851,                 1.5212,              0.0005348,              0.0005348,              0.0005348
                     77,                0.87607,                0.48755,                 1.4375,                0.97003,                 0.9949,                0.98719,                0.76582,                0.89681,                 0.3921,                 1.5298,               0.000515,               0.000515,               0.000515
                     78,                0.89471,                0.49816,                   1.46,                0.97396,                 0.9949,                0.99073,                0.76486,                0.89151,                0.38741,                 1.5276,              0.0004952,              0.0004952,              0.0004952
                     79,                0.89287,                0.49778,                 1.4558,                0.97499,                 0.9945,                0.99118,                0.76938,                0.89775,                 0.3885,                 1.5302,              0.0004754,              0.0004754,              0.0004754
                     80,                0.88287,                0.49115,                  1.452,                0.97496,                0.99316,                0.99123,                0.75741,                0.89736,                0.39188,                 1.5391,              0.0004556,              0.0004556,              0.0004556
                     81,                0.87952,                0.48338,                 1.4379,                0.97226,                 0.9949,                0.99032,                0.75822,                0.89418,                0.38197,                 1.5239,              0.0004358,              0.0004358,              0.0004358
                     82,                 0.8697,                0.48109,                 1.4307,                 0.9739,                 0.9949,                0.98954,                0.76635,                0.89326,                0.38529,                 1.5218,               0.000416,               0.000416,               0.000416
                     83,                0.88731,                 0.4915,                  1.452,                0.97326,                 0.9949,                0.98919,                0.75999,                 0.9152,                0.38908,                 1.5805,              0.0003962,              0.0003962,              0.0003962
                     84,                0.88042,                0.48266,                 1.4447,                0.97432,                 0.9949,                 0.9919,                0.77392,                0.89034,                  0.377,                 1.5341,              0.0003764,              0.0003764,              0.0003764
                     85,                0.87033,                0.47409,                 1.4355,                0.97403,                 0.9949,                0.98858,                0.76202,                0.89691,                0.38346,                 1.5353,              0.0003566,              0.0003566,              0.0003566
                     86,                 0.8606,                0.47443,                 1.4315,                0.97436,                 0.9949,                0.98618,                0.75796,                0.89735,                0.37059,                 1.5327,              0.0003368,              0.0003368,              0.0003368
                     87,                0.85934,                0.48347,                 1.4324,                0.97496,                0.99339,                0.99079,                 0.7669,                0.88695,                 0.3753,                 1.5066,               0.000317,               0.000317,               0.000317
